motor,etapa,master,ejecutores,orden_ejecucion,es_calentamiento,repeticion_util,repeticion,duracion_segundos,tiempo_jdbc_segundos,tiempo_computo_segundos,cpu_segundos,rss_inicial_mb,rss_final_mb,ordenes_fuente,detalles_fuente,usuarios_fuente,filas_resultado_etapa,dataset_max_order_id,python,spark,pandas,modalidad_lectura
pyspark,t2,spark://e4-spark-master:7077,2.0,2,False,1.0,2,19.269254,16.6268,1.392616,0.05,62.418,62.418,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,2.0,3,False,2.0,3,15.351315,13.055528,1.010842,0.05,62.641,62.766,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,2.0,4,False,3.0,4,19.769203,17.288639,1.042167,0.05,62.309,62.434,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,2.0,5,False,4.0,5,19.046143,16.713007,0.955709,0.05,62.375,62.375,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,2.0,6,False,5.0,6,19.616465,17.051523,1.335162,0.06,62.02,62.27,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,1,True,,1,21.527806,19.185776,0.766899,0.05,62.312,62.438,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,2,False,1.0,2,23.174914,20.8403,0.965167,0.06,62.023,62.148,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,3,False,2.0,3,20.17981,17.725052,0.928084,0.07,62.191,62.316,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,4,False,3.0,4,24.136191,19.324333,1.597347,0.12,61.996,62.121,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,5,False,4.0,5,22.907321,19.259051,1.750485,0.07,62.43,62.555,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t2,spark://e4-spark-master:7077,4.0,6,False,5.0,6,20.071587,17.715209,0.895706,0.06,62.422,62.422,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,1,True,,1,18.506033,14.586596,2.653806,0.07,62.188,62.562,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,2,False,1.0,2,17.202533,12.875006,2.878184,0.07,62.277,62.527,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,3,False,2.0,3,17.175122,13.291013,2.687951,0.07,62.316,62.566,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,4,False,3.0,4,16.4222,12.696746,2.451529,0.07,62.391,62.641,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,5,False,4.0,5,16.105879,12.548858,2.416127,0.06,62.137,62.262,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,1.0,6,False,5.0,6,17.081875,13.245439,2.663385,0.07,62.406,62.531,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,1,True,,1,19.851835,15.762005,2.898188,0.07,62.348,62.598,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,2,False,1.0,2,20.775882,16.725987,2.837514,0.06,62.359,62.484,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,3,False,2.0,3,21.693507,17.241021,3.072802,0.08,62.641,62.766,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,4,False,3.0,4,18.272354,14.231632,2.744829,0.06,62.07,62.195,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,5,False,4.0,5,21.264367,16.883699,3.010671,0.07,62.207,62.332,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,2.0,6,False,5.0,6,20.631544,16.524,2.807165,0.06,62.312,62.438,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,1,True,,1,22.595259,18.119992,3.014618,0.09,62.359,62.484,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,2,False,1.0,2,21.446426,16.898903,3.108744,0.06,62.395,62.395,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,3,False,2.0,3,25.964903,21.633075,2.928109,0.07,62.59,62.715,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,4,False,3.0,4,20.400542,16.561103,2.477423,0.08,61.906,62.156,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,5,False,4.0,5,21.888446,17.405536,3.025812,0.06,62.512,62.512,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t3,spark://e4-spark-master:7077,4.0,6,False,5.0,6,25.813463,21.101311,3.038138,0.08,62.422,62.422,600000,600000,10000,570000,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,1,True,,1,22.292353,14.220229,6.800063,0.1,62.641,62.891,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,2,False,1.0,2,22.157958,13.59915,7.282899,0.09,62.508,62.633,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,3,False,2.0,3,22.252642,13.482748,7.363935,0.09,62.449,62.699,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,4,False,3.0,4,21.700815,13.36459,7.18674,0.09,62.238,62.363,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,5,False,4.0,5,22.598203,13.668035,7.650293,0.1,62.441,62.566,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,1.0,6,False,5.0,6,22.17364,13.997938,6.77643,0.1,62.332,62.457,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,1,True,,1,24.305072,16.554817,6.421151,0.1,62.719,62.844,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,2,False,1.0,2,21.873994,13.613811,7.003473,0.1,62.117,62.242,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,3,False,2.0,3,25.717667,17.821106,6.566209,0.1,62.387,62.637,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,4,False,3.0,4,21.925393,13.798011,6.792389,0.1,62.289,62.539,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,5,False,4.0,5,25.55546,16.918412,7.244249,0.09,62.352,62.477,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,2.0,6,False,5.0,6,23.970486,16.420119,5.953547,0.1,62.434,62.434,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,1,True,,1,27.23786,19.471346,6.226851,0.1,62.391,62.516,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,2,False,1.0,2,23.899502,16.234908,6.311524,0.09,62.477,62.852,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,3,False,2.0,3,23.513695,15.98887,6.313502,0.09,62.34,62.465,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,4,False,3.0,4,26.188399,18.373598,6.571429,0.09,62.184,62.184,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,5,False,4.0,5,23.952817,16.22103,6.465975,0.09,62.395,62.52,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t4,spark://e4-spark-master:7077,4.0,6,False,5.0,6,23.526628,15.763921,6.515286,0.09,62.211,62.461,600000,600000,10000,40,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,1.0,1,True,,1,31.8595,12.447901,4.211712,0.12,62.055,62.18,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,1.0,2,False,1.0,2,33.112411,12.80346,4.486,0.12,62.414,62.414,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,1.0,3,False,2.0,3,32.677176,13.052441,4.810807,0.1,62.137,62.387,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,1.0,4,False,3.0,4,33.118199,12.582154,4.570366,0.12,61.949,62.074,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,1.0,5,False,4.0,5,33.564339,12.536941,4.471986,0.12,62.062,62.188,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
