"timestamp","status","success","response_time_ms","error"
"2026-09-04T14:02:34.9136232+00:00","200","True","783.513",""
"2026-09-04T14:02:35.9204864+00:00","200","True","308.881",""
"2026-09-04T14:02:36.9221975+00:00","200","True","530.31",""
"2026-09-04T14:02:37.9232067+00:00","200","True","224.808",""
"2026-09-04T14:02:38.9244057+00:00","200","True","360.02",""
"2026-09-04T14:02:39.9256873+00:00","200","True","264.224",""
"2026-09-04T14:02:40.9268053+00:00","200","True","670.5",""
"2026-09-04T14:02:41.9272027+00:00","200","True","183.518",""
"2026-09-04T14:02:42.9276084+00:00","200","True","301.262",""
"2026-09-04T14:02:43.9287320+00:00","200","True","281.321",""
"2026-09-04T14:02:44.9289247+00:00","200","True","266.077",""
"2026-09-04T14:02:45.9296331+00:00","200","True","333.314",""
"2026-09-04T14:02:46.9296920+00:00","200","True","481.861",""
"2026-09-04T14:02:47.9310698+00:00","200","True","639.429",""
"2026-09-04T14:02:48.9312420+00:00","200","True","206.148",""
"2026-09-04T14:02:49.9322717+00:00","200","True","336.414",""
"2026-09-04T14:02:50.9329891+00:00","200","True","282.149",""
"2026-09-04T14:02:51.9336545+00:00","200","True","447.109",""
"2026-09-04T14:02:52.9342393+00:00","200","True","278.314",""
"2026-09-04T14:02:53.9351153+00:00","200","True","384.994",""
"2026-09-04T14:02:54.9357695+00:00","200","True","437.807",""
"2026-09-04T14:02:55.9362755+00:00","200","True","377.558",""
"2026-09-04T14:02:56.9364400+00:00","200","True","417.147",""
"2026-09-04T14:02:57.9372357+00:00","200","True","327.591",""
"2026-09-04T14:02:58.9374410+00:00","200","True","314.855",""
"2026-09-04T14:02:59.9379692+00:00","200","True","1043.662",""
"2026-09-04T14:03:00.9818993+00:00","200","True","531.021",""
"2026-09-04T14:03:01.9824470+00:00","200","True","242.487",""
"2026-09-04T14:03:02.9824865+00:00","200","True","566.327",""
"2026-09-04T14:03:03.9832619+00:00","200","True","487.973",""
"2026-09-04T14:03:04.9837922+00:00","200","True","408.171",""
"2026-09-04T14:03:05.9847180+00:00","200","True","534.523",""
"2026-09-04T14:03:06.9849028+00:00","200","True","366.728",""
"2026-09-04T14:03:07.9852437+00:00","200","True","834.683",""
"2026-09-04T14:03:08.9854260+00:00","200","True","159.223",""
"2026-09-04T14:03:09.9860668+00:00","200","True","282.431",""
"2026-09-04T14:03:10.9860061+00:00","200","True","247.629",""
"2026-09-04T14:03:11.9863545+00:00","200","True","248.946",""
"2026-09-04T14:03:12.9866935+00:00","200","True","430.116",""
"2026-09-04T14:03:13.9872720+00:00","200","True","967.845",""
"2026-09-04T14:03:14.9880916+00:00","200","True","168.9",""
"2026-09-04T14:03:15.9886327+00:00","200","True","262.263",""
"2026-09-04T14:03:16.9893437+00:00","200","True","246.467",""
"2026-09-04T14:03:17.9893416+00:00","200","True","279.042",""
"2026-09-04T14:03:18.9898275+00:00","200","True","268.729",""
"2026-09-04T14:03:19.9900445+00:00","200","True","357.115",""
"2026-09-04T14:03:20.9906772+00:00","200","True","266.666",""
"2026-09-04T14:03:21.9907968+00:00","200","True","310.65",""
"2026-09-04T14:03:22.9908987+00:00","200","True","310.209",""
"2026-09-04T14:03:23.9914937+00:00","200","True","333.999",""
"2026-09-04T14:03:24.9918916+00:00","200","True","635.465",""
"2026-09-04T14:03:25.9920365+00:00","200","True","166.054",""
"2026-09-04T14:03:26.9924562+00:00","200","True","251.453",""
"2026-09-04T14:03:27.9924128+00:00","200","True","379.819",""
"2026-09-04T14:03:28.9927334+00:00","200","True","253.45",""
"2026-09-04T14:03:29.9926366+00:00","200","True","354.978",""
"2026-09-04T14:03:30.9931713+00:00","200","True","249.182",""
"2026-09-04T14:03:31.9938399+00:00","200","True","255.671",""
"2026-09-04T14:03:32.9939654+00:00","200","True","341.181",""
"2026-09-04T14:03:33.9945467+00:00","200","True","247.802",""
"2026-09-04T14:03:34.9948096+00:00","200","True","260.541",""
"2026-09-04T14:03:35.9953158+00:00","200","True","263.728",""
