fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
none,2pc,50,5,60.0,90.0,0.0,5.0,50,50,100,44,0.44,0,0,0,,"{""0"": 44, ""200"": 56}",56000,60000,60000,1.509695954802648,0.43,20.0,70.95,73.64,False,,1788549866.766,91.295
none,2pc,100,5,60.0,90.0,0.0,5.0,100,100,221,121,0.547511,0,0,0,,"{""0"": 91, ""200"": 100, ""503"": 30}",6100,60000,60000,3.114633482947262,0.0,0.0,74.68,78.41,False,,1788550087.334,90.929
none,2pc,200,5,60.0,90.0,0.0,5.0,200,200,865,661,0.764162,4,4,0,1.0,"{""0"": 44, ""200"": 204, ""500"": 1, ""503"": 616}",13000,38000,60000,10.17474580999535,0.0,0.0,80.4,84.29,False,,1788550374.577,90.994
none,2pc,400,5,60.0,90.0,0.0,5.0,400,400,709,325,0.458392,0,0,0,,"{""0"": 344, ""200"": 385, ""503"": 15}",15000,17000,60000,7.977507440976948,0.0,0.0,93.51,100.75,False,,1788550726.181,91.05
omission,2pc,50,5,60.0,90.0,0.1,5.0,50,50,103,36,0.349515,3,3,0,1.0,"{""0"": 33, ""200"": 67, ""500"": 3}",11000,60000,60000,1.4395370181082145,0.0,0.0,71.37,73.41,False,,1788550948.248,90.842
omission,2pc,100,5,60.0,90.0,0.1,5.0,100,100,286,153,0.534965,9,9,0,1.0,"{""0"": 67, ""200"": 133, ""500"": 2, ""503"": 89}",4100,62000,62000,3.219905592797703,2.17,97.7,74.55,77.22,False,,1788551168.92,90.849
omission,2pc,200,5,60.0,90.0,0.1,5.0,200,200,598,375,0.62709,3,3,0,1.0,"{""0"": 67, ""200"": 223, ""500"": 1, ""503"": 316}",11000,60000,62000,6.748898580362091,0.0,0.0,80.35,83.79,False,,1788551454.159,90.915
omission,2pc,400,5,60.0,90.0,0.1,5.0,400,400,1714,1349,0.787048,0,0,0,,"{""0"": 1349, ""200"": 365}",17000,17000,17000,19.36173220943721,0.0,0.0,97.14,108.46,False,,1788551804.159,91.069
timing,2pc,50,5,60.0,90.0,0.1,5.0,50,50,112,27,0.241071,12,12,0,1.0,"{""0"": 27, ""200"": 85, ""500"": 1}",15000,60000,60000,1.2743872860347434,0.0,0.0,71.66,73.64,False,,1788552024.133,90.81
timing,2pc,100,5,60.0,90.0,0.1,5.0,100,100,223,112,0.502242,0,0,0,,"{""0"": 96, ""200"": 112, ""503"": 17}",9500,60000,60000,2.529664433702862,0.0,0.0,74.82,78.33,False,,1788552241.438,90.829
timing,2pc,200,5,60.0,90.0,0.1,5.0,200,200,671,468,0.697466,1,1,0,1.0,"{""0"": 104, ""200"": 204, ""503"": 364}",11000,60000,60000,7.642088438358401,0.0,0.0,80.27,84.71,False,,1788552524.014,90.93
timing,2pc,400,5,60.0,90.0,0.1,5.0,400,400,1193,809,0.678122,0,0,0,,"{""0"": 627, ""200"": 384, ""503"": 182}",17000,26000,28000,15.096281976996357,0.02,0.8,96.88,106.79,False,,1788553430.898,91.35
none,saga,50,5,60.0,90.0,0.0,5.0,50,50,100,24,0.24,0,0,0,,"{""0"": 24, ""200"": 76}",27000,60000,60000,1.536253074815307,0.0,0.0,71.72,74.11,False,,1788553681.078,91.152
none,saga,100,5,60.0,90.0,0.0,5.0,100,100,210,110,0.52381,0,0,0,,"{""0"": 96, ""200"": 100, ""503"": 14}",6400,60000,60000,2.8925433784954437,0.0,0.0,74.72,78.26,False,,1788553911.361,90.858
none,saga,200,5,60.0,90.0,0.0,5.0,200,200,461,233,0.505423,0,0,0,,"{""0"": 90, ""200"": 228, ""503"": 143}",14000,60000,60000,5.208270912685319,0.0,0.0,80.71,84.3,False,,1788554196.387,90.862
none,saga,400,5,60.0,90.0,0.0,5.0,400,400,1442,1072,0.743412,0,0,0,,"{""0"": 980, ""200"": 370, ""503"": 92}",17000,23000,27000,16.08164762528061,0.0,0.0,96.58,106.24,False,,1788554553.504,91.036
omission,saga,50,5,60.0,90.0,0.1,5.0,50,50,100,41,0.41,0,0,0,,"{""0"": 41, ""200"": 59}",52000,60000,60000,1.5174243238115226,0.0,0.0,71.48,73.61,False,,1788554779.89,90.846
omission,saga,100,5,60.0,90.0,0.1,5.0,100,100,397,284,0.715365,3,3,0,1.0,"{""0"": 87, ""200"": 113, ""503"": 197}",4500,60000,60000,4.63033782806124,0.0,0.0,74.34,78.15,False,,1788554998.425,90.894
omission,saga,200,5,60.0,90.0,0.1,5.0,200,200,481,259,0.538462,0,0,0,,"{""0"": 93, ""200"": 223, ""503"": 170}",10000,60000,62000,5.430006475790563,0.0,0.0,80.07,83.66,False,,1788555290.964,90.903
omission,saga,400,5,60.0,90.0,0.1,5.0,400,400,792,393,0.496212,0,0,0,,"{""0"": 430, ""200"": 399, ""500"": 1}",17000,60000,60000,8.92005561027276,0.0,0.0,91.54,101.66,False,,1788555639.948,90.989
timing,saga,50,5,60.0,90.0,0.1,5.0,50,50,100,44,0.44,0,0,0,,"{""0"": 44, ""200"": 56}",53000,60000,60000,1.523053212911332,0.0,0.0,71.68,73.85,False,,1788555859.356,90.797
timing,saga,100,5,60.0,90.0,0.1,5.0,100,100,219,119,0.543379,0,0,0,,"{""0"": 96, ""200"": 100, ""500"": 1, ""503"": 25}",5500,60000,60000,2.9751804955856533,0.0,0.0,74.29,77.34,False,,1788556077.057,90.896
timing,saga,200,5,60.0,90.0,0.1,5.0,200,200,458,258,0.563319,0,0,0,,"{""0"": 64, ""200"": 200, ""503"": 194}",9600,60000,60000,6.390364300596817,0.0,0.0,80.24,83.43,False,,1788556362.268,90.916
timing,saga,400,5,60.0,90.0,0.1,5.0,400,400,1635,1635,1.0,0,0,0,,"{""0"": 1659}",17000,17000,17000,18.432096672066656,0.0,0.0,96.89,108.07,False,,1788556714.85,91.067
