fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
none,2pc,100,2,60.0,90.0,0.0,5.0,100,100,242,142,0.586777,0,0,0,,"{""0"": 91, ""200"": 100, ""503"": 54}",4100,60000,62000,2.7854810049709706,0.0,0.0,74.83,77.98,False,,1788528288.12,90.919
none,2pc,200,2,60.0,90.0,0.0,5.0,200,200,898,697,0.776169,0,0,0,,"{""0"": 44, ""200"": 202, ""503"": 653}",12000,28000,60000,10.099641456607118,0.0,0.0,80.21,84.07,False,,1788528604.011,90.999
none,2pc,400,2,60.0,90.0,0.0,5.0,400,400,813,406,0.499385,0,0,0,,"{""0"": 384, ""200"": 408, ""503"": 22}",17000,17000,45000,9.193418291963143,0.0,0.0,94.1,102.21,False,,1788529050.288,91.083
omission,2pc,50,2,60.0,90.0,0.1,5.0,50,50,139,72,0.517986,3,3,0,1.0,"{""0"": 33, ""200"": 67, ""500"": 4, ""503"": 35}",3600,60000,60000,1.8374485778544807,0.0,0.0,71.57,73.71,False,,1788529270.639,90.899
omission,2pc,100,2,60.0,90.0,0.1,5.0,100,100,397,297,0.748111,0,0,0,,"{""0"": 80, ""200"": 100, ""500"": 1, ""503"": 219}",2800,62000,62000,4.46514072077147,0.0,0.0,74.7,77.57,False,,1788529523.977,90.922
omission,2pc,200,2,60.0,90.0,0.1,5.0,200,200,873,659,0.754868,12,12,0,1.0,"{""0"": 39, ""200"": 214, ""503"": 625}",12000,34000,60000,9.824707773006955,0.02,0.8,80.27,83.82,False,,1788529840.056,90.895
omission,2pc,400,2,60.0,90.0,0.1,5.0,400,400,1238,858,0.693053,0,0,0,,"{""0"": 660, ""200"": 380, ""503"": 198}",17000,23000,26000,15.433294948156114,0.0,0.0,95.99,105.39,False,,1788530291.079,91.041
timing,2pc,50,2,60.0,90.0,0.1,5.0,50,50,133,67,0.503759,0,0,0,,"{""0"": 34, ""200"": 66, ""503"": 33}",3000,60000,60000,2.03360808516237,0.0,0.0,71.24,73.24,False,,1788530512.633,90.872
timing,2pc,100,2,60.0,90.0,0.1,5.0,100,100,462,362,0.78355,0,0,0,,"{""0"": 45, ""200"": 100, ""503"": 317}",4300,62000,62000,6.110987141221022,1.12,50.4,74.77,77.16,False,,1788530766.374,90.913
timing,2pc,200,2,60.0,90.0,0.1,5.0,200,200,1054,853,0.809298,0,0,0,,"{""0"": 31, ""200"": 202, ""503"": 839}",12000,21000,26000,11.851515298474762,0.0,0.0,78.83,84.0,False,,1788531081.045,90.972
