module,max_method_complexity,objective,status,class,method,source,line,report
gateway,6,<10,CUMPLE,JwtGatewayFilter,doFilterInternal,Apps/web/frontend/src/main/java/com/tiendatech/frontend/security/JwtGatewayFilter.java,87,docs/experimentos/resultados/iso25010/complejidad/gateway-pmd.xml
inventario,20,<10,NO CUMPLE,JdbcInventarioRepository,registrarItem,services/inventario-service/src/main/java/com/tiendatech/inventario/infrastructure/persistence/JdbcInventarioRepository.java,132,docs/experimentos/resultados/iso25010/complejidad/inventario-pmd.xml
ordenes_proveedores,11,<10,NO CUMPLE,JdbcOrdenCompraRepository,validarDetalle,services/ordenes-proveedores-service/src/main/java/com/tiendatech/ordenesproveedores/infrastructure/persistence/JdbcOrdenCompraRepository.java,194,docs/experimentos/resultados/iso25010/complejidad/ordenes_proveedores-pmd.xml
pedidos,15,<10,NO CUMPLE,OrdenService,generarOrdenDesdeCarrito,services/pedidos-service/src/main/java/com/tiendatech/pedidos/application/OrdenService.java,88,docs/experimentos/resultados/iso25010/complejidad/pedidos-pmd.xml
productos,14,<10,NO CUMPLE,JdbcProductoRepository,agregarImagen,services/productos-service/src/main/java/com/tiendatech/productos/infrastructure/persistence/JdbcProductoRepository.java,247,docs/experimentos/resultados/iso25010/complejidad/productos-pmd.xml
usuarios,17,<10,NO CUMPLE,UsuarioService,cambiarPasswordConToken,services/usuarios/src/main/java/com/tiendatech/usuarios/application/service/UsuarioService.java,272,docs/experimentos/resultados/iso25010/complejidad/usuarios-pmd.xml
ventas,3,<10,CUMPLE,FacturaService,obtenerPorId,services/ventas-service/src/main/java/com/tiendatech/ventas/application/FacturaService.java,26,docs/experimentos/resultados/iso25010/complejidad/ventas-pmd.xml
